,waldStat,df,pvalue,meanLogFC,FDR
TUBA1A,83.521049904591,4,0,1.89100359507922,0
FLNA,87.6484572705062,4,0,0.54702170258154,0
CD74,100.074944254865,4,0,0.30656654530923,0
SUMO2,88.4892032438944,4,0,0.45080833618233,0
PYHIN1,106.119253257169,4,0,1.11543731312087,0
IKZF2,186.271155357645,4,0,0.701328595788685,0
S100A4,207.494151852413,4,0,0.968693718098165,0
STMN1,249.896405008445,4,0,1.27050473578575,0
ID3,140.872560810445,4,0,1.34271501964414,0
SYNE2,177.200455204808,4,0,0.526499134234199,0
BCL6,114.943498930957,4,0,0.567108857013023,0
GNLY,143.587337221381,4,0,1.12100119435414,0
ACTN4,103.116602537926,4,0,0.350210352875135,0
CASC15,192.375765507563,4,0,0.461211714922782,0
FYB1,158.237630095931,4,0,1.35696469211676,0
SNORD3B-2,178.147425634669,4,0,1.0130327769743,0
HCST,126.86191354915,4,0,0.617453833597472,0
MIR1244-2,177.116689836785,4,0,1.12250811699316,0
HLA-J,237.245355424841,4,0,0.942309921737594,0
MTND1P23,123.534946827276,4,0,0.726303361019429,0
TUBB,134.829804524219,4,0,2.08878962476487,0
HLA-F,138.63033644481,4,0,1.07331324969928,0
VIM,155.586038076333,4,0,0.67656115792343,0
PTMAP2,122.507225569249,4,0,0.710466669324712,0
HLA-B,735.209918251262,4,0,0.664873962633651,0
RPL37P2,85.8566551475984,4,0,0.332711992747821,0
B2M,266.347206739992,4,0,0.420241531566267,0
GNAS,84.8978655829331,4,0,0.274121059774511,0
JARID2,113.266274227238,4,0,0.687768943045323,0
HLA-A,322.476338713964,4,0,0.385754956761973,0
RPL37,94.8837987472637,4,0,0.300414653014375,0
TOX,91.8804236980969,4,0,0.773662586876455,0
MYO1F,115.826946100737,4,0,0.497389898737018,0
AC078817.1,112.267884254247,4,0,0.289089443057663,0
NUCB2,112.035329323456,4,0,0.725571297233647,0
MT2A,127.477198803961,4,0,1.44244556910356,0
RPS23P8,85.6131456241239,4,0,0.255647656832909,0
LEF1,351.99246682519,4,0,0.797285357862345,0
S100A6,143.053694874858,4,0,0.5966272501621,0
HMGB2,103.829467498967,4,0,2.87174786826142,0
RTKN2,200.038774134922,4,0,0.433123146419126,0
RPS8,133.444616772968,4,0,0.619250890575226,0
PTMA,308.032384980029,4,0,0.655071674933918,0
RORA,90.3303730097038,4,0,1.55963825944752,0
C12orf57,101.268785997879,4,0,0.289469552810886,0
PTMAP5,227.34103644742,4,0,0.718035374363685,0
H3F3AP4,186.08832904283,4,0,0.407206497106396,0
SNORD3A,144.750345323179,4,0,1.10662472019425,0
H3F3A,407.145648324721,4,0,0.33153872067775,0
ITGA4,122.378922850219,4,0,0.53979115161056,0
MT-ND1,139.427529491138,4,0,0.517752709808967,0
GAPDH,209.774083797146,4,0,1.11829148655787,0
TMSB10,117.579611738597,4,0,0.445827984917069,0
RPS20P14,126.271270921476,4,0,0.280028480488783,0
SOX4,401.464768954709,4,0,0.464685887057371,0
HLA-C,519.568296600538,4,0,0.903115184445399,0
ACTB,101.465290717169,4,0,0.685565477934346,0
IL18RAP,87.7732152087377,4,0,2.12254276685488,0
GAPDHP40,104.724460459858,4,0,1.41439399209174,0
MIR1244-3,164.972777034234,4,0,0.881732150920663,0
MIR1244-4,99.9235905074316,4,0,0.982625994064035,0
DGKA,107.810107424619,4,0,1.20793569125553,0
CD3D,125.434492443647,4,0,0.732847894625958,0
