,logFC,p.value,FDR
CCL5,0.247763738206244,3.00975121740197e-206,4.29070133552825e-202
HLA-B,0.198565405821252,3.00413128643146e-159,2.14134478096834e-155
HLA-C,0.177864110496472,3.02491465733037e-113,1.43743944516339e-109
NKG7,0.145161943875145,1.30712734772906e-109,4.65860186730637e-106
SOX4,-0.130828736880814,7.89592678560045e-87,2.2512866451104e-83
TOX2,-0.0860350637617984,1.632932142906e-78,3.87984677154465e-75
B2M,0.0964898562445164,9.9957694759604e-78,2.03570985213274e-74
BCL11B,-0.124885423454993,1.44280245648175e-67,2.57107397745048e-64
HLA-A,0.143395806668813,2.85858992555238e-64,4.52800644207497e-61
H3F3A,-0.127956908316857,1.28070928879141e-62,1.82577916210103e-59
KLRD1,0.0666803065155662,1.54318425302704e-59,1.99996679192305e-56
IL7R,0.0516843841868356,4.20829261073687e-59,4.99945162155541e-56
LEF1,-0.109914534918729,9.94299711070374e-59,1.0903643600784e-55
CCR9,-0.0658748403207053,1.55025655119048e-52,1.57860409955511e-49
RTKN2,-0.0729437998499728,5.43040094589798e-51,5.16105305898144e-48
GZMK,0.0797166529090072,8.88877819404801e-48,7.91990137089678e-45
GZMA,0.103064529785115,1.87118198040471e-47,1.56915119486174e-44
STMN1,-0.081213103204818,2.85243473578721e-45,2.25912831074347e-42
CST7,0.0857583059308435,8.121956055049e-44,6.09403186951466e-41
HLA-J,0.115461447992142,3.64358937566744e-43,2.59715050697575e-40
CASC15,-0.0667778697517666,9.22771437208503e-42,6.26429981373544e-39
S100A4,0.0896200619457205,1.34702444513872e-39,8.7287184044989e-37
MT-ND1,0.0795551402240866,3.28243647835542e-39,2.03453975806239e-36
AHNAK,0.0889274699959737,1.85374462376503e-38,1.10112430651643e-35
AL391069.2,-0.00235798103934078,2.36505984608399e-38,1.34865172663094e-35
LTB,-0.014103545703834,3.67607293827683e-36,2.01561906954133e-33
KLRB1,0.0884121521689977,1.1766005190372e-34,6.21245074051639e-32
HLA-E,0.108772629080356,3.7118692307985e-34,1.88987170550941e-31
IKZF2,-0.0732737701961879,6.21806425057904e-34,3.0567146191812e-31
MT-ND4,0.0656543661681792,1.51176157912178e-32,7.18389102398669e-30
CD1A,-0.0195780051342611,9.58596163610144e-32,4.40830545433104e-29
ACTN1,-0.0499730536667634,1.51887857457476e-31,6.76660404973056e-29
SNORD3B-2,0.100139148051724,1.09240358602883e-30,4.71918349164454e-28
PKMYT1,-0.00186059083227583,2.65365316642124e-29,1.11266116295592e-26
EFHD2,0.0336361793380931,4.01377265904341e-29,1.63486694363779e-26
SYNE2,0.0829646081674093,1.42751497106161e-28,5.65295928540399e-26
H3F3AP6,-0.0829484683341109,1.86551070544981e-28,7.18776232888987e-26
TCF7,-0.0875672779568136,3.49345798842001e-28,1.31059834428725e-25
GNLY,0.0666271815244463,4.04024191994995e-28,1.47686381566171e-25
NCAPH,-0.00298219499970064,1.22505294626121e-27,4.36608870047494e-25
LINC00526,-0.00274757191537333,1.65302292049314e-27,5.74768164745126e-25
ID3,-0.0497657322397738,4.11976460839919e-27,1.39836581565093e-24
MALAT1,0.0200910338999326,1.72138667437784e-26,5.70699730928616e-24
MTND1P23,0.0756740875863764,2.22568055185205e-26,7.21120498800066e-24
UHRF1,-0.00590672583247458,8.07637059896012e-26,2.55859420575057e-23
FYB1,-0.0768842329960766,1.27116588840466e-25,3.93950889241236e-23
H3F3AP4,-0.0714974963816137,1.77449182973069e-25,5.382373515881e-23
MT-ND5,0.0886887472952393,1.88153267131882e-25,5.58815203381689e-23
GAPDHP65,-0.0592599005139956,7.73087586268723e-25,2.24921155711161e-22
SMPD3,-0.0424687987880528,1.09745022948894e-24,3.12905009431887e-22
SNORD3A,0.0841548515281588,4.62404822228373e-24,1.29255747954661e-21
S100A6,0.0708765070240119,7.54735948666041e-24,2.06913763157367e-21
PTMA,-0.0786323736529238,1.44510073552443e-23,3.88704831804459e-21
FGFBP2,0.0162220537593147,1.5003934690833e-23,3.96103875837992e-21
PLEK,0.0374762817723226,2.28318783144311e-23,5.91802285910053e-21
HLA-F,0.0795067300460614,2.76790622733952e-23,7.04629842445575e-21
RPS29,0.0420561999702902,4.89403793725155e-23,1.22402464620102e-20
CX3CR1,0.0212578552337575,5.81543536430693e-23,1.42939390609585e-20
RPL23A,0.0458263836967976,1.08121109419401e-22,2.61249921336098e-20
ITGA4,-0.0484306323541676,3.35625643755882e-22,7.97446529563975e-20
MT-RNR2,0.0326660750557109,3.50443781718558e-22,8.19004352816355e-20
SNRPEP6,-0.0101491289942784,7.25172039502128e-22,1.66742783792618e-19
MARCKSL1,-0.034227574060666,2.51679656269288e-21,5.69515107900788e-19
KLRG1,0.0558669433778413,3.41690766875237e-21,7.61116183214591e-19
NREP,-0.0284028436418471,1.1144062481905e-20,2.44415007295442e-18
MT-ND3,0.053830583991283,1.32201570957556e-20,2.8555539326832e-18
MT-CYB,0.0611668302322192,1.6638884177166e-20,3.54035720641311e-18
PHGDH,-0.00857117315266098,4.54332316605472e-20,9.52494339048178e-18
MT2A,0.0485682067144802,6.12614457471414e-20,1.26571473995833e-17
MYO1F,0.0526921166228621,1.02947021564622e-19,2.09658962775036e-17
BCL6,-0.0402341170797164,1.57918896393362e-19,3.17083350279405e-17
RPL23AP42,0.0510050201797437,2.15259571598377e-19,4.26213951764787e-17
HCST,0.071601184228957,2.84745434732586e-19,5.56072728431199e-17
