,logFC,pvalue,FDR
SUMO2,-3.19052701549129,0,0
HSPB1,-3.64093939890315,0,0
HLA-A,2.72473280590265,0,0
RPS20P14,-1.98086530379147,0,0
NREP,-7.77991415602623,0,0
AIF1,-5.4731896515065,0,0
AC112191.2,-2.67649640807831,0,0
HIPK2,-5.342142741044,2.22044604925031e-16,3.95683485976406e-13
KLF6,3.49301129390002,1.77635683940025e-15,2.81374923361e-12
UQCRB,-2.07227470387589,2.55351295663786e-15,3.64028807098293e-12
AC090589.1,-0.983708014637802,2.93098878501041e-14,3.7985614653735e-11
NMT2,-3.60784866242468,7.97140131680862e-14,9.47002476436865e-11
HIST1H3PS1,-3.49065776961281,1.01918473660589e-13,1.1176536619272e-10
CUX1,-3.90068547011247,1.35225164399344e-13,1.37697853119789e-10
U1_ENSG00000277918.1,-3.49877222366337,2.08166817117217e-13,1.97841742988203e-10
HSPB1P1,-4.23061172983737,2.3259172365897e-13,2.07239225780143e-10
MFSD2B,-3.66684905092922,7.2997163869104e-13,6.12145628304675e-10
DIP2A,3.47309994349279,1.08246744900953e-12,8.57314219615546e-10
HMGA1,-2.64704001734419,1.16717746578843e-12,8.75751681698938e-10
ANXA1,4.00898559685718,1.55275792224074e-12,1.1068058469732e-09
TRBC2,-2.07516545325645,7.6163519935335e-12,5.17041495332446e-09
NFATC2,3.87834462235016,9.34985422418322e-12,6.05870553727073e-09
RPL5P1,-1.38775906435232,2.58636445593652e-11,1.60309616016657e-08
PTMA,-4.66580536560168,2.7844171412994e-11,1.65394378193184e-08
ARID5B,-3.09943576361928,3.16742188033459e-11,1.80619065304199e-08
H2AFY,-2.62783644589058,3.29570815083002e-11,1.80706213070126e-08
HLA-H,3.55784207230838,3.89381860088633e-11,2.05593622126798e-08
MSN,2.42002528660233,4.09881018015312e-11,2.08687992600939e-08
CDK6,-3.78422751348501,5.77730085993267e-11,2.84004141583449e-08
STAT5A,-3.28349417189297,7.42402805897768e-11,3.45162618486938e-08
RPS11P5,-1.4878233149226,7.50564055351788e-11,3.45162618486938e-08
U1_ENSG00000275405.1,-4.12114634623283,8.32949265117122e-11,3.71078897609678e-08
AC110749.1,-1.8147613888234,1.99331551264947e-10,8.53415728673714e-08
HSPB1P2,-3.78562558804217,2.0353629892611e-10,8.53415728673714e-08
ATP2B4,4.31838894651995,2.57881604959209e-10,1.05038861722814e-07
RPL5P24,-1.20353395779379,2.82005307994382e-10,1.11674101965775e-07
RPL5P12,-1.39395075028795,3.06626612989191e-10,1.16571395483857e-07
ARHGAP32,-7.18326957670101,3.10726222529922e-10,1.16571395483857e-07
GMFG,-1.82794173754519,3.4395053472025e-10,1.25727149306971e-07
NDUFB1,-3.08587317822053,4.91171658900669e-10,1.75053579232198e-07
SAMHD1,2.97339997520371,9.20813092442074e-10,3.20173449898883e-07
PTMAP5,-4.84494917868023,1.00979424821901e-09,3.42753019109767e-07
AL139156.2,-6.67864729374266,1.09726505659324e-09,3.63781642948681e-07
RNF213,1.52234815342229,1.22556054193979e-09,3.9708161558849e-07
SEMA4D,-2.17459472873493,1.51541801329813e-09,4.80084426612848e-07
LAPTM5,1.76136299242672,1.72150227406576e-09,5.33516009110466e-07
LDLRAD4,-3.62220831954633,2.12793216380902e-09,6.45442572920455e-07
BEX3,-3.80566530324418,2.2816573075346e-09,6.77652220337777e-07
MARCKS,-9.58604336632298,2.42979525388876e-09,7.05760399768832e-07
RALY,-3.40731445193235,2.51354848046503e-09,7.05760399768832e-07
SLC25A5P2,-5.67801111431958,2.52481624496426e-09,7.05760399768832e-07
AC084824.1,-2.60459542686477,2.99708879936134e-09,8.13101777907832e-07
KLRC1,6.3825912997409,3.06766212432308e-09,8.13101777907832e-07
HIST1H4C,-4.9177813548797,3.07993097692361e-09,8.13101777907832e-07
AP000797.1,-1.94180110142786,3.23466464724476e-09,8.38425076565841e-07
RPS24P8,-0.877839360408026,3.60898511075902e-09,9.1874449533894e-07
PRMT2,2.3272282839747,4.47802672720599e-09,1.11997805303594e-06
RPS20P2,-1.58868664450243,4.60332161278387e-09,1.13146470537667e-06
UQCRH,-2.05741990437289,5.00241947865021e-09,1.20872020487521e-06
MIF,-2.86669373008812,5.11061348795749e-09,1.2142817647387e-06
CFLAR,1.91562035628539,5.45022427189679e-09,1.27374421672394e-06
PSMB9,2.5727165022102,8.14919176583828e-09,1.87378835183533e-06
HDAC4,-4.82840257448971,9.95606819209627e-09,2.25291600232578e-06
RPL37AP8,-1.18742056905129,1.03995847489102e-08,2.31650750281975e-06
TOP1,-2.44270072688111,1.11921363288303e-08,2.42502900160702e-06
NAP1L1P3,-2.48542554491731,1.1226986118551e-08,2.42502900160702e-06
RPS23P8,-1.67411223204581,1.25120857008554e-08,2.66227304106559e-06
NOL11,-4.39007307203312,1.350742417916e-08,2.83179175144271e-06
NACA2,-1.69656305178199,1.78593098087987e-08,3.68988870484397e-06
BTF3,-1.85802006817512,1.91014188910543e-08,3.89014039586958e-06
ZNRF1,-3.24857369215505,2.76307614566207e-08,5.54794556796598e-06
PTPN7,-2.24933113845061,2.97655898817695e-08,5.89358679659036e-06
RPL24P8,-1.54569719757274,4.11549415657575e-08,8.0370526981019e-06
NDUFA13,-2.82764780014243,4.35409464039083e-08,8.38810448559616e-06
ARHGAP25,3.16423999879757,4.879496129373e-08,9.25867017348717e-06
USP11,-3.11422718220149,4.93587916094995e-08,9.25867017348717e-06
STT3B,-2.46422709587653,5.06183593929066e-08,9.31112773222126e-06
AC125604.1,-3.29175040434272,5.09447224406046e-08,9.31112773222126e-06
AL157871.3,-3.74947835170683,5.52464115566309e-08,9.96952966014342e-06
CEP170,-4.78577800126639,5.74319990453986e-08,1.023438222989e-05
AC090152.1,-6.05524048095482,6.75159116392265e-08,1.18828004485039e-05
AC009245.1,-1.98857288559006,7.54286222370837e-08,1.3113541934291e-05
CD1C,-7.27898293046053,7.96016784709863e-08,1.36723075696672e-05
GBP4,4.95840300176422,9.88484828434721e-08,1.67759996597207e-05
SNHG5,-1.66588206819476,1.25188747812643e-07,2.0996362221377e-05
FGR,7.06371910102413,1.30398015052435e-07,2.16157453789246e-05
PSIP1,-2.59785862390903,1.43631823101842e-07,2.3535807702757e-05
TUBA1B,-5.41877666345177,1.51564826578188e-07,2.45535019056664e-05
RACK1,-0.720456100783953,1.53590608897858e-07,2.46021092185153e-05
ADH5P4,-5.83401544556641,1.73723038732199e-07,2.71840039038906e-05
RPL7P9,-1.1342645716596,1.73853009655112e-07,2.71840039038906e-05
YY1,-1.92656891142381,1.75429879289979e-07,2.71840039038906e-05
RERE,-3.11247574872698,1.83600460057498e-07,2.81441737481687e-05
CBX1,-3.39941759419354,1.92218915007203e-07,2.8993980060843e-05
SMARCC1,-2.64143006291585,1.93870666298501e-07,2.8993980060843e-05
SFPQ,-1.71284303083315,1.95245656975374e-07,2.8993980060843e-05
AL590139.1,-3.80184046558842,2.02358150569459e-07,2.97403896342084e-05
ZNF736,-7.16904338335233,2.08791797295937e-07,3.03728149209274e-05
RPL7P1,-1.33090322126697,2.2041292413455e-07,3.17394610753752e-05
BTN3A3,3.32335879120571,2.22808232752669e-07,3.17635416612205e-05
DBN1,-4.42244546578276,2.26241156364715e-07,3.19336032191621e-05
DDX5,-1.33273070499213,2.51686739227708e-07,3.5176923082649e-05
PTPN4,3.08156422976871,3.48492480872764e-07,4.82340660905061e-05
PCED1B-AS1,2.73610043713611,3.83051476982033e-07,5.25075178447678e-05
BTN3A2,2.46725022242351,3.89106903697645e-07,5.28296001820345e-05
